Subject,Start Date,Start Time,End Time
Period 6,10/21/2022,12:59 PM,1:42 PM
Period 7,10/21/2022,1:47 PM,2:30 PM
Period 1,10/25/2022,7:45 AM,8:33 AM
Period 2,10/25/2022,8:38 AM,9:21 AM
Period 3,10/25/2022,9:26 AM,10:09 AM
Period 4,10/25/2022,10:14 AM,10:57 AM
Lunch,10/25/2022,10:57 AM,11:47 AM
Period 5,10/25/2022,11:52 AM,12:54 PM
Period 6,10/25/2022,12:59 PM,1:42 PM
Period 7,10/25/2022,1:47 PM,2:30 PM
Period 1,10/26/2022,7:45 AM,8:30 AM
Period 2,10/26/2022,8:35 AM,9:17 AM
Period 3,10/26/2022,9:52 AM,10:34 AM
Period 4,10/26/2022,10:39 AM,11:21 AM
Lunch,10/26/2022,11:21 AM,12:09 PM
Period 5,10/26/2022,12:14 PM,12:56 PM
Period 6,10/26/2022,1:01 PM,1:43 PM
Period 7,10/26/2022,1:48 PM,2:30 PM
Advisory,10/26/2022,9:22 AM,9:47 AM
Period 1,10/27/2022,7:45 AM,8:33 AM
Period 2,10/27/2022,8:38 AM,9:21 AM
Period 3,10/27/2022,9:26 AM,10:09 AM
Period 4,10/27/2022,10:14 AM,10:57 AM
Lunch,10/27/2022,10:57 AM,11:47 AM
Period 5,10/27/2022,11:52 AM,12:35 PM
Period 6,10/27/2022,12:40 PM,1:42 PM
Period 7,10/27/2022,1:47 PM,2:30 PM
Period 1,10/28/2022,7:45 AM,8:33 AM
Period 2,10/28/2022,8:38 AM,9:21 AM
Period 3,10/28/2022,9:26 AM,10:09 AM
Period 4,10/28/2022,10:14 AM,10:57 AM
Lunch,10/28/2022,10:57 AM,11:47 AM
Period 5,10/28/2022,11:52 AM,12:35 PM
Period 6,10/28/2022,12:40 PM,1:23 PM
Period 7,10/28/2022,1:28 PM,2:30 PM
Period 1,10/31/2022,7:45 AM,8:52 AM
Period 2,10/31/2022,8:57 AM,9:40 AM
Period 3,10/31/2022,9:45 AM,10:28 AM
Period 4,10/31/2022,10:33 AM,11:16 AM
Lunch,10/31/2022,11:16 AM,12:06 PM
Period 5,10/31/2022,12:11 PM,12:54 PM
Period 6,10/31/2022,12:59 PM,1:42 PM
Period 7,10/31/2022,1:47 PM,2:30 PM
Period 1,11/1/2022,7:45 AM,8:33 AM
Period 2,11/1/2022,8:38 AM,9:40 AM
Period 3,11/1/2022,9:45 AM,10:28 AM
Period 4,11/1/2022,10:33 AM,11:16 AM
Lunch,11/1/2022,11:16 AM,12:06 PM
Period 5,11/1/2022,12:11 PM,12:54 PM
Period 6,11/1/2022,12:59 PM,1:42 PM
Period 7,11/1/2022,1:47 PM,2:30 PM
Period 1,11/2/2022,7:45 AM,8:30 AM
Period 2,11/2/2022,8:35 AM,9:17 AM
Period 3,11/2/2022,9:52 AM,10:34 AM
Period 4,11/2/2022,10:39 AM,11:21 AM
Lunch,11/2/2022,11:21 AM,12:09 PM
Period 5,11/2/2022,12:14 PM,12:56 PM
Period 6,11/2/2022,1:01 PM,1:43 PM
Period 7,11/2/2022,1:48 PM,2:30 PM
Advisory,11/2/2022,9:22 AM,9:47 AM
Period 1,11/3/2022,7:45 AM,8:33 AM
Period 2,11/3/2022,8:38 AM,9:21 AM
Period 3,11/3/2022,9:26 AM,10:28 AM
Period 4,11/3/2022,10:33 AM,11:16 AM
Lunch,11/3/2022,11:16 AM,12:06 PM
Period 5,11/3/2022,12:11 PM,12:54 PM
Period 6,11/3/2022,12:59 PM,1:42 PM
Period 7,11/3/2022,1:47 PM,2:30 PM
Period 1,11/4/2022,7:45 AM,8:33 AM
Period 2,11/4/2022,8:38 AM,9:21 AM
Period 3,11/4/2022,9:26 AM,10:09 AM
Period 4,11/4/2022,10:14 AM,11:16 AM
Lunch,11/4/2022,11:16 AM,12:06 PM
Period 5,11/4/2022,12:11 PM,12:54 PM
Period 6,11/4/2022,12:59 PM,1:42 PM
Period 7,11/4/2022,1:47 PM,2:30 PM
Period 1,11/9/2022,7:45 AM,8:30 AM
Period 2,11/9/2022,8:35 AM,9:17 AM
Period 3,11/9/2022,9:52 AM,10:34 AM
Period 4,11/9/2022,10:39 AM,11:21 AM
Lunch,11/9/2022,11:21 AM,12:09 PM
Period 5,11/9/2022,12:14 PM,12:56 PM
Period 6,11/9/2022,1:01 PM,1:43 PM
Period 7,11/9/2022,1:48 PM,2:30 PM
Advisory,11/9/2022,9:22 AM,9:47 AM
Period 1,11/10/2022,7:45 AM,8:33 AM
Period 2,11/10/2022,8:38 AM,9:21 AM
Period 3,11/10/2022,9:26 AM,10:09 AM
Period 4,11/10/2022,10:14 AM,10:57 AM
Lunch,11/10/2022,10:57 AM,11:47 AM
Period 5,11/10/2022,11:52 AM,12:54 PM
Period 6,11/10/2022,12:59 PM,1:42 PM
Period 7,11/10/2022,1:47 PM,2:30 PM
Period 1,11/11/2022,7:45 AM,8:33 AM
Period 2,11/11/2022,8:38 AM,9:21 AM
Period 3,11/11/2022,9:26 AM,10:09 AM
Period 4,11/11/2022,10:14 AM,10:57 AM
Lunch,11/11/2022,10:57 AM,11:47 AM
Period 5,11/11/2022,11:52 AM,12:35 PM
Period 6,11/11/2022,12:40 PM,1:42 PM
Period 7,11/11/2022,1:47 PM,2:30 PM
Period 1,11/14/2022,7:45 AM,8:33 AM
Period 2,11/14/2022,8:38 AM,9:21 AM
Period 3,11/14/2022,9:26 AM,10:09 AM
Period 4,11/14/2022,10:14 AM,10:57 AM
Lunch,11/14/2022,10:57 AM,11:47 AM
Period 5,11/14/2022,11:52 AM,12:35 PM
Period 6,11/14/2022,12:40 PM,1:23 PM
Period 7,11/14/2022,1:28 PM,2:30 PM
Period 1,11/15/2022,7:45 AM,8:52 AM
Period 2,11/15/2022,8:57 AM,9:40 AM
Period 3,11/15/2022,9:45 AM,10:28 AM
Period 4,11/15/2022,10:33 AM,11:16 AM
Lunch,11/15/2022,11:16 AM,12:06 PM
Period 5,11/15/2022,12:11 PM,12:54 PM
Period 6,11/15/2022,12:59 PM,1:42 PM
Period 7,11/15/2022,1:47 PM,2:30 PM
Period 1,11/16/2022,7:45 AM,8:30 AM
Period 2,11/16/2022,8:35 AM,9:17 AM
Period 3,11/16/2022,9:52 AM,10:34 AM
Period 4,11/16/2022,10:39 AM,11:21 AM
Lunch,11/16/2022,11:21 AM,12:09 PM
Period 5,11/16/2022,12:14 PM,12:56 PM
Period 6,11/16/2022,1:01 PM,1:43 PM
Period 7,11/16/2022,1:48 PM,2:30 PM
Advisory,11/16/2022,9:22 AM,9:47 AM
Period 1,11/17/2022,7:45 AM,8:33 AM
Period 2,11/17/2022,8:38 AM,9:40 AM
Period 3,11/17/2022,9:45 AM,10:28 AM
Period 4,11/17/2022,10:33 AM,11:16 AM
Lunch,11/17/2022,11:16 AM,12:06 PM
Period 5,11/17/2022,12:11 PM,12:54 PM
Period 6,11/17/2022,12:59 PM,1:42 PM
Period 7,11/17/2022,1:47 PM,2:30 PM
Period 1,11/18/2022,7:45 AM,8:33 AM
Period 2,11/18/2022,8:38 AM,9:21 AM
Period 3,11/18/2022,9:26 AM,10:28 AM
Period 4,11/18/2022,10:33 AM,11:16 AM
Lunch,11/18/2022,11:16 AM,12:06 PM
Period 5,11/18/2022,12:11 PM,12:54 PM
Period 6,11/18/2022,12:59 PM,1:42 PM
Period 7,11/18/2022,1:47 PM,2:30 PM
Period 1,11/28/2022,7:45 AM,8:33 AM
Period 2,11/28/2022,8:38 AM,9:21 AM
Period 3,11/28/2022,9:26 AM,10:09 AM
Period 4,11/28/2022,10:14 AM,11:16 AM
Lunch,11/28/2022,11:16 AM,12:06 PM
Period 5,11/28/2022,12:11 PM,12:54 PM
Period 6,11/28/2022,12:59 PM,1:42 PM
Period 7,11/28/2022,1:47 PM,2:30 PM
Period 1,11/29/2022,7:45 AM,8:33 AM
